# {"t_start": 1600396399.741331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,1.840525
-50.0,50,4.36362
-50.0,50,6.740996
-50.0,50,9.179984
-50.0,50,11.53933
-50.0,50,13.976753
-50.0,50,16.476569
-50.0,50,24.660843
-50.0,50,27.177224
-50.0,50,29.680621
-50.0,50,32.280597
-50.0,50,34.966702
-50.0,50,37.77952
-50.0,50,40.563904
-50.0,50,43.368729
-50.0,50,46.14959
-50.0,50,48.849422
-50.0,50,51.568638
-50.0,50,54.320626
-50.0,50,56.994393
-50.0,50,59.749049
0.0,50,62.576211
-50.0,50,65.516772
-50.0,50,68.372385
-50.0,50,71.151588
-50.0,50,73.917273
-50.0,50,82.125729
-50.0,50,84.903106
-50.0,50,87.780577
-50.0,50,90.701803
-50.0,50,93.590015
-50.0,50,96.503888
-50.0,50,99.394911
-50.0,50,102.21792
-50.0,50,105.089337
-50.0,50,108.003107
-50.0,50,116.35513
-50.0,50,119.156766
-50.0,50,121.887353
-50.0,50,124.724334
-50.0,50,127.575342
-50.0,50,130.522145
-50.0,50,133.458869
-50.0,50,136.32761
-50.0,50,139.158525
-50.0,50,141.996908
-50.0,50,144.841698
-50.0,50,147.768275
-50.0,50,150.700609
-50.0,50,153.625185
-50.0,50,156.55477
-50.0,50,159.459081
-50.0,50,162.428884
-50.0,50,165.331286
-50.0,50,168.243806
-50.0,50,171.122709
-50.0,50,174.027639
-50.0,50,176.92862
-50.0,50,179.909255
-50.0,50,182.789775
-50.0,50,185.761929
-50.0,50,188.665941
-50.0,50,191.611909
-50.0,50,194.42704
-50.0,50,197.305116
-50.0,50,205.749929
-50.0,50,208.76466
-50.0,50,211.698557
-50.0,50,214.60861
-50.0,50,217.573506
-50.0,50,220.605737
-50.0,50,223.556884
-50.0,50,226.527972
-50.0,50,229.528049
-50.0,50,232.618339
-50.0,50,235.662984
-50.0,50,238.692633
0.0,50,241.630736
-50.0,50,244.578136
-50.0,50,247.558729
-50.0,50,250.459559
-50.0,50,253.394698
-50.0,50,256.356083
-50.0,50,259.483048
-50.0,50,262.440865
-50.0,50,265.435778
-50.0,50,268.400826
-50.0,50,271.324211
-50.0,50,274.244986
0.0,50,277.117563
-50.0,50,280.070603
-50.0,50,283.008473
-50.0,50,286.011754
-50.0,50,288.969216
-50.0,50,291.944381
-50.0,50,295.05623
-50.0,50,298.207109
-50.0,50,301.26115
-50.0,50,304.289349
-50.0,50,307.303367
-50.0,50,310.322308
-50.0,50,310.500652
-50.0,50,310.662562
-50.0,50,310.817275
-50.0,50,310.980265
-50.0,50,311.154422
-50.0,50,311.324175
-50.0,50,311.488569
-50.0,50,311.661101
-50.0,50,311.82231
-50.0,50,312.014702
-50.0,50,314.990749
-50.0,50,318.027319
-50.0,50,321.063629
-50.0,50,324.043588
-50.0,50,327.069366
-50.0,50,330.133469
-50.0,50,333.098231
-50.0,50,336.114663
-50.0,50,339.175869
-50.0,50,342.217045
-50.0,50,350.88833
-50.0,50,359.296463
-50.0,50,362.301576
-50.0,50,365.373233
-50.0,50,368.522147
-50.0,50,371.565892
-50.0,50,374.562973
-50.0,50,377.525192
-50.0,50,380.545121
-50.0,50,383.653274
-50.0,50,386.799495
-50.0,50,389.84648
-50.0,50,392.981532
-50.0,50,396.065339
-50.0,50,399.134524
-50.0,50,402.178632
-50.0,50,405.225758
-50.0,50,408.545166
-50.0,50,411.823813
-50.0,50,414.801762
-50.0,50,417.843285
-50.0,50,426.222932
-50.0,50,429.461081
-50.0,50,432.516046
-50.0,50,435.565007
-50.0,50,438.598148
-50.0,50,441.577097
-50.0,50,444.621399
-50.0,50,447.778282
-50.0,50,450.924743
-50.0,50,453.977152
-50.0,50,457.025761
-50.0,50,460.023297
-50.0,50,463.138387
-50.0,50,466.38589
-50.0,50,469.483028
-50.0,50,472.560552
-50.0,50,475.61007
-50.0,50,478.603568
-50.0,50,481.657855
-50.0,50,489.9903
-50.0,50,493.011813
-50.0,50,496.012353
-50.0,50,498.94641
0.0,50,501.937148
-50.0,50,504.860656
-50.0,50,507.851912
-50.0,50,510.827127
-50.0,50,513.894339
-50.0,50,516.982647
0.0,50,520.07667
-50.0,50,523.089598
-50.0,50,526.158066
-50.0,50,529.200324
-50.0,50,532.224047
-50.0,50,540.814752
-50.0,50,543.817544
-50.0,50,546.814115
-49.0,50,549.823713
-50.0,50,558.402308
-50.0,50,567.012373
-50.0,50,575.285781
-50.0,50,578.387925
0.0,50,581.525216
-50.0,50,584.575698
-50.0,50,587.594101
-50.0,50,590.669085
-50.0,50,593.693501
-50.0,50,602.19441
-50.0,50,605.28522
-50.0,50,608.316457
-50.0,50,611.304853
-50.0,50,614.237264
-50.0,50,617.246799
-50.0,50,620.298186
-50.0,50,623.43611
-50.0,50,632.139853
-50.0,50,635.226664
