epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8359287,0.12594481,0.19675969,0.20644619,10.0,-4.683169,0.0,100.0,0.03
1,0.8236565,0.18328208,0.19982499,0.24441992,20.0,-7.488272,0.0,200.0,0.03
2,0.8334887,0.14609851,0.20172288,0.23992033,30.0,-11.954868,0.0,300.0,0.09
3,0.8359266,0.12870231,0.20259747,0.24252313,40.0,-13.106267,0.1,400.0,0.08
4,0.83332163,0.13398875,0.20237553,0.24705029,50.0,-10.495447,0.4,500.0,0.14
5,0.8321972,0.13003227,0.20225212,0.24624921,60.0,-12.024607,0.2,600.0,0.19
6,0.8312672,0.13256754,0.20270032,0.24932282,70.0,-4.010627,0.8,700.0,0.27
7,0.8316541,0.12602511,0.20237106,0.24555062,80.0,-5.90185,0.8,800.0,0.34
8,0.83260417,0.122273624,0.20251894,0.24236903,90.0,-6.3728676,0.8,900.0,0.31
9,0.8338766,0.11690152,0.2027899,0.23940413,100.0,-9.8214,0.7,1000.0,0.47
10,0.8334473,0.11758301,0.20300865,0.23919888,110.0,-17.182163,0.6,1100.0,0.45
11,0.8347647,0.112163454,0.2032742,0.23744436,120.0,-17.098692,0.6,1200.0,0.54
12,0.8356684,0.10912921,0.20356135,0.23584652,130.0,-22.327948,0.5,1300.0,0.48
13,0.8354087,0.11099378,0.20402974,0.23581505,140.0,-8.001251,0.8,1400.0,0.41
14,0.8345168,0.11924607,0.20375012,0.23725674,150.0,-13.755692,0.8,1500.0,0.3
15,0.8335834,0.1246626,0.20363617,0.23899645,160.0,-6.248952,0.9,1600.0,0.41
16,0.8331328,0.12900312,0.2036923,0.23979242,170.0,-1.2692931,1.0,1700.0,0.43
17,0.8331658,0.13335614,0.20352152,0.24133474,180.0,-9.376447,0.8,1800.0,0.34
18,0.8322768,0.13768424,0.20349365,0.24320196,190.0,-1.6617801,0.9,1900.0,0.49
19,0.83243436,0.13933669,0.20340958,0.24315889,200.0,-3.1415288,0.9,2000.0,0.42
20,0.83262223,0.14238453,0.20346364,0.24347761,210.0,-4.479237,0.9,2100.0,0.4
21,0.83301216,0.14292575,0.20336527,0.24366848,220.0,-0.8707099,1.0,2200.0,0.37
22,0.83459705,0.13854106,0.20376445,0.24246901,230.0,-0.69470346,1.0,2300.0,0.42
23,0.8361306,0.13447556,0.20405641,0.24133533,240.0,-1.1461685,0.9,2400.0,0.38
24,0.83754855,0.13131122,0.20430045,0.24110718,250.0,-1.1699786,0.9,2500.0,0.43
25,0.8387637,0.12883355,0.20461248,0.24050647,260.0,-1.9665029,0.8,2600.0,0.42
26,0.8398385,0.12579629,0.20475644,0.2396594,270.0,-1.084307,0.9,2700.0,0.35
27,0.8410515,0.12266928,0.20499061,0.23842369,280.0,-1.303706,1.0,2800.0,0.37
28,0.8416981,0.11961359,0.20521082,0.23736715,290.0,-0.9298116,1.0,2900.0,0.45
29,0.84261113,0.116800435,0.20541458,0.23616755,300.0,-0.966094,0.8,3000.0,0.43
30,0.84366316,0.11413965,0.20567188,0.23453377,310.0,-1.091473,1.0,3100.0,0.36
31,0.8442743,0.11170763,0.20583753,0.23436178,320.0,-0.9872452,1.0,3200.0,0.39
32,0.84486026,0.10833022,0.20591491,0.23378639,330.0,-0.9291975,0.9,3300.0,0.47
33,0.84544754,0.10542783,0.20608376,0.23330608,340.0,-1.2168046,1.0,3400.0,0.41
34,0.8461487,0.101833165,0.20621452,0.2328428,350.0,-1.1453617,1.0,3500.0,0.47
35,0.8466727,0.09876162,0.20632344,0.23202993,360.0,-0.51211804,1.0,3600.0,0.42
36,0.84735537,0.095802404,0.20648587,0.23115976,370.0,-1.2318783,0.7,3700.0,0.33
37,0.84768754,0.095902346,0.20655483,0.23111205,380.0,-1.4628583,0.9,3800.0,0.31
38,0.84632796,0.105920255,0.20623532,0.2336162,390.0,-0.82874763,1.0,3900.0,0.38
39,0.8450052,0.11347226,0.20596014,0.2350353,400.0,-0.68935454,1.0,4000.0,0.38
40,0.84402555,0.11916337,0.20568407,0.23754612,410.0,-2.244171,0.9,4100.0,0.39
41,0.8429067,0.12445911,0.20543194,0.23941389,420.0,-0.95237887,1.0,4200.0,0.42
42,0.8419495,0.12856935,0.20522226,0.24062057,430.0,-0.9073731,0.9,4300.0,0.43
43,0.84102947,0.13284874,0.20493488,0.24184236,440.0,-0.49268928,1.0,4400.0,0.39
44,0.84017843,0.13633297,0.20468946,0.24276517,450.0,-0.9985116,1.0,4500.0,0.39
45,0.8395333,0.13944943,0.20452866,0.24347313,460.0,-1.2713461,1.0,4600.0,0.36
46,0.83889085,0.1422717,0.20432515,0.24420032,470.0,-1.255673,1.0,4700.0,0.47
47,0.83820015,0.14512868,0.20415702,0.24486428,480.0,-1.0406744,0.9,4800.0,0.38
48,0.83762413,0.14751539,0.204074,0.24549328,490.0,-1.059657,1.0,4900.0,0.39
49,0.8370032,0.14966747,0.20393778,0.24617684,500.0,-0.9853302,1.0,5000.0,0.47
50,0.83632106,0.15176468,0.20380184,0.24689084,510.0,-0.99968493,1.0,5100.0,0.46
51,0.8357331,0.15374269,0.2036072,0.24751338,520.0,-1.1961639,1.0,5200.0,0.47
52,0.8351069,0.15553683,0.20343146,0.24787977,530.0,-0.9802151,0.9,5300.0,0.39
53,0.83470577,0.15706432,0.20330256,0.2483733,540.0,-1.4643991,1.0,5400.0,0.45
